ID,Название проверки ,Шаги,Ожидаемый результат 
C1C,"Работоспособность сайта (сайт открывается, UI работает)","Вбить в поле ввода ссылку: %здесь сайт калькулятора%
","Сайт открылся, высветилась ошибка при попытке поделить букву на букву"
,,Перейти на сайт,
,,"Ввести по букве ""а"" в каждое поле ввода проверить UI (окно с ошибкой)",
,,,
С2C,Работоспособность полей ввода данных,Зайти на сайт: %здесь сайт калькулятора%,"Поля ввода доступны для внесения данных (кроме поля ""Результат"")"
,,"Проверить каждое поле ввода кликом на него (в том числе и поле ""результат"")",
,,"Ввести в каждое поле данные (в том числе и в поле ""Результат"") ",
,,,
C3C,"Деление натуральных чисел, где числитель больше знаменателя",Зайти на сайт: %здесь сайт калькулятора%,"В поле ""Результат"" отобразится число 5"
,,Ввести в поле числителя 10,
,,Ввести в поле знаменателя 2,
,,"Нажать кнопку ""Вычислить""",
,,,
C4C,Деление с проверкой требования: ограничение на ввод максимум 5 символов,Зайти на сайт: %здесь сайт калькулятора%,Все доступные поля на ввод будут ограничены 5 символами
,,Ввести в поле числителя 9999999,
,,Ввести в поле знаменателя 9999999,
,,,
,,,
C5C,Деление на 0,Зайти на сайт: %здесь сайт калькулятора%,"Вместо результата высветится окно с ошибкой: ""Деление на 0 невозможно"""
,,Ввести в поле числителя 10,
,,Ввести в поле знаменателя 0,
,,"Нажать кнопку ""Вычислить""",
,,,
C5C,"Деление натуральных чисел, где числитель меньше знаменателя",Зайти на сайт: %здесь сайт калькулятора%,"В поле ""Результат"" отобразится число 0,2"
,,Ввести в поле числителя 2,
,,Ввести в поле знаменателя 10,
,,"Нажать кнопку ""Вычислить""",
,,,
C6,Выполнить деление с пустыми полями для ввода данных,Ничего не вводить в поля данных ,"Вылетит окошко с ошибкой: ""Окна ввода не могут быть пустыми"""
,,"Нажать кнопку ""Вычислить""",
,,,
С7,Ввести в поля ввода буквенные значения вместо чисел,Зайти на сайт: %здесь сайт калькулятора%,"Вылетит окошко: ""В поля ввода можно внести только числа"""
,,"Ввести в поле числителя ""Hello""",
,,"Ввести в поле знаменателя ""My name is""",
,,"Нажать кнопку ""Вычислить""",
,,,
C8,Деление на 1,Зайти на сайт: %здесь сайт калькулятора%,В поле результата отобразится число 10
,,Ввести в поле числителя 10,
,,Ввести в поле знаменателя 1,
,,"Нажать кнопку ""Вычислить""",
,,,
C9,Деление 0 на число,Зайти на сайт: %здесь сайт калькулятора%,В поле результата отобразится число 0
,,Ввести в поле числителя 0,
,,Ввести в поле знаменателя 6,
,,"Нажать кнопку ""Вычислить""",
,,,
\n C10,Проверка округления цифр после запятой,Зайти на сайт: %здесь сайт калькулятора%,"В поле результата отобразится число 0,857"
,"Примечание: в задаче не оговорено, сколько должно отображаться после "","", предположим, что 3 цифры, \n поэтому я ввёл самомстоятельно это условие, оценив UI как пользователь",Ввести в поле числителя 6,
,,Ввести в поле знаменателя 7,
,,"Нажать кнопку ""Вычислить""",
,,,
C11,Деление отрицательных чисел,Зайти на сайт: %здесь сайт калькулятора%,В поле результата отобразится число -2
,,Ввести в поле числителя -6,
,,Ввести в поле знаменателя 3,
,,"Нажать кнопку ""Вычислить""",
,,,
C12,Деление отрицательных чисел c десятичной дробью в результате,Зайти на сайт: %здесь сайт калькулятора%,"В поле результата отобразится число -2,333"
,,Ввести в поле числителя -7,
,,Ввести в поле знаменателя 5,
,,"Нажать кнопку ""Вычислить""",
,,,
C13,Деление десятичных дробей ,Зайти на сайт: %здесь сайт калькулятора%,В поле результата отобразится число 2.875
,,"Ввести в поле числителя 9,2",
,,"Ввести в поле знаменателя 3,2",
,,"Нажать кнопку ""Вычислить""",
,,,
C14,Деление отрицательных десятичных дробей ,Зайти на сайт: %здесь сайт калькулятора%,"В поле результата отобразится число -1,471"
,,"Ввести в поле числителя -7,8",
,,"Ввести в поле знаменателя 5,3",
,,"Нажать кнопку ""Вычислить""",
,,,
C15,Проверить API: отправить POST запрос с корректными данными,Открыть Postman,Получить статус 200
,,Создать запрос POST,
,,Написать тело запроса в формате JSON (пример написан в файле с ссылкой),
,,Отправить,
